country,adm1_pcode,adm1_name,pillar_education,pillar_health,pillar_food_security,pillar_economic,pillar_climate,sepi,n_pillars,sepi_rank,primary_school_net_attendance_total_norm,net_attendance_total_norm,school_access_pop_norm,healthcare_access_pop_norm,health_fac_per_10k_pop_norm,hospitals_per_100k_pop_norm,pop_frac_3plus_norm,poverty_headcount_pct_norm,gcp_pc_norm,rs_ndvi_norm,rs_soil_moist_norm,rs_fapar_norm,rs_pdsi_norm,literacy_percent_total_norm,percent_highest_level_secondary_education_norm,total_expenditure_usd_norm,on_payroll_pct_norm,dropout_pct_norm,annual_cmb_mean_norm
Kenya,KE022,Kiambu,0.610611303,0.580906756,1,0.628031167,0.30219833,0.582946776,5,18,0.106918239,0.757142857,0.967772814,0.99959996,0.23070697,0.512413337,0,0.040751443,0.296813776,0.528964554,0.34160277,0.278849969,0.059376029,,,,,,
Kenya,KE023,Turkana,0.396769417,0.165985922,0.333333333,0.060206076,0.530449761,0.233966971,5,46,0.704402516,0.385714286,0.100191449,0.087008701,0.180815806,0.230133259,0.666666667,0.977321467,0.097733618,0.576091912,0.51609957,0.575919889,0.453687673,,,,,,
Kenya,KE024,West Pokot,0.407624212,0.22969972,0.833333333,0.146265363,0.284220435,0.317839008,5,43,0.805031447,0.342857143,0.074984046,0.245324532,0.238456119,0.20531851,0.166666667,0.802331923,0.094862649,0.465835628,0.333251321,0.198697084,0.139097705,,,,,,
Kenya,KE025,Samburu,0.298471096,0.235228569,0.666666667,0.095821169,0.549451083,0.300841896,5,44,0.597484277,0.278571429,0.019357583,0,0.426442466,0.279243241,0.333333333,0.857929923,0.04957226,0.813243848,0.663392905,0.366032216,0.355135362,,,,,,
Kenya,KE026,Trans Nzoia,0.557482924,0.471408803,1,0.462350194,0.336242497,0.527534152,5,28,0.754716981,0.614285714,0.303446075,0.883688369,0.132620195,0.397917845,0,0.252992765,0.177693153,0.500659981,0,0.650952664,0.193357345,,,,,,
Kenya,KE027,Uasin Gishu,0.490693708,0.488493239,1,0.543174275,0.406187019,0.555477991,5,24,0.371069182,0.714285714,0.386726228,0.97609761,0.141986716,0.347395392,0,0.17040426,0.256752811,0.535212485,0.116742658,0.625360765,0.347432167,,,,,,
Kenya,KE028,Elgeyo-Marakwet,0.427255723,0.58802834,1,0.434398306,0.309478839,0.507833148,5,29,0.672955975,0.592857143,0.015954052,0.414841484,0.426523041,0.922720496,0,0.401256218,0.270052831,0.452529665,0.038906762,0.464785956,0.281692972,,,,,,
Kenya,KE029,Nandi,0.447116106,0.447281005,1,0.453471533,0.524784351,0.543884065,5,26,0.691823899,0.628571429,0.020952989,0.829182918,0.304217609,0.208442487,0,0.293646324,0.20058939,0.454012198,0.400622687,0.671075521,0.573426997,,,,,,
Kenya,KE030,Baringo,0.473529824,0.48092341,0.5,0.26298502,0.364131457,0.405057328,5,38,0.660377358,0.614285714,0.145926399,0.580258026,0.516404643,0.346107561,0.5,0.562139053,0.088109094,0.595765976,0.288218114,0.260392659,0.312149079,,,,,,
Kenya,KE031,Laikipia,0.497922858,0.422009208,0.833333333,0.483264114,0.34605409,0.493544431,5,32,0.534591195,0.735714286,0.223463093,0.347234723,0.26406674,0.65472616,0.166666667,0.244771797,0.211300026,0.927617388,0.275613102,0.119241885,0.061743984,,,,,,
Kenya,KE032,Nakuru,0.609513365,0.520267388,1,0.558790187,0.3513313,0.573898501,5,20,0.496855346,0.75,0.581684748,0.96109611,0.209358249,0.390347806,0,0.191460719,0.309041093,0.677637289,0.133937633,0.361793535,0.231956743,,,,,,
Kenya,KE033,Narok,0.411205736,0.188513104,0.833333333,0.312784214,0.578622503,0.410744656,5,37,0.893081761,0.214285714,0.126249734,0.280828083,0.109178718,0.17553251,0.166666667,0.517023519,0.142591947,0.820749271,0.39088204,0.643603992,0.45925471,,,,,,
Kenya,KE034,Kajiado,0.429746677,0.460470761,0.833333333,0.43799968,0.460305746,0.506233296,5,30,0.421383648,0.435714286,0.432142097,0.541054105,0.349892932,0.490465246,0.166666667,0.252219865,0.128219225,1,0.442598286,0.279355312,0.119269385,,,,,,
Kenya,KE035,Kericho,0.490897074,0.667596399,1,0.460006897,0.461435285,0.586780827,5,17,0.666666667,0.692857143,0.113167411,0.909990999,0.33086383,0.761934368,0,0.302855029,0.222868823,0.52045348,0.19729365,0.570050884,0.557943125,,,,,,
Kenya,KE036,Bomet,0.458715184,0.262170602,1,0.471803491,0.544412352,0.498842269,5,31,0.754716981,0.621428571,0,0.562956296,0.146887608,0.076667903,0,0.275957323,0.219564304,0.565114009,0.275062816,0.68108516,0.656387424,,,,,,
Kenya,KE037,Kakamega,0.666303446,0.449250161,1,0.416554128,0.658519515,0.606568815,5,10,0.867924528,0.478571429,0.65241438,0.98189819,0.117479163,0.24837313,0,0.271124151,0.104232407,0.528052395,0.719722932,0.637642005,0.748660729,,,,,,
Kenya,KE038,Vihiga,0.691914387,0.473196018,1,0.463060667,0.754005733,0.648068924,5,3,0.86163522,0.592857143,0.621250798,1,0.161512519,0.258075537,0,0.215085038,0.141206373,0.584604454,0.933386468,0.720356228,0.777675781,,,,,,
Kenya,KE039,Bungoma,0.585968117,0.358388304,1,0.391703986,0.666362873,0.559473241,5,22,0.773584906,0.571428571,0.412890874,0.95229523,0.030045575,0.092824107,0,0.329187043,0.112595016,0.570334201,0.508058366,0.778547236,0.808511687,,,,,,
Kenya,KE040,Busia,0.516839939,0.413680343,1,0.370305763,0.73004356,0.565439364,5,21,0.849056604,0.507142857,0.194320357,0.96659666,0.077511844,0.196932525,0,0.33745886,0.078070387,0.487641958,0.902411196,0.530121084,1,,,,,,
Kenya,KE041,Siaya,0.574158822,0.513984626,1,0.402046725,0.750619308,0.616503698,5,6,0.786163522,0.464285714,0.472027228,0.898389839,0.177210987,0.466353051,0,0.287168196,0.091261647,0.571323699,1,0.73689916,0.694254373,,,,,,
Kenya,KE042,Kisumu,0.568314296,0.719249726,1,0.548681776,0.609323617,0.671625794,5,1,0.51572327,0.592857143,0.596362476,0.9889989,0.183564428,0.985185852,0,0.176834082,0.274197633,0.450042766,0.649071112,0.606669124,0.731511467,,,,,,
Kenya,KE043,Homa Bay,0.518159295,0.560397789,1,0.401023965,0.674029085,0.60112077,5,13,0.566037736,0.514285714,0.474154435,0.924492449,0.23632636,0.520374558,0,0.304510155,0.106558085,0.452920091,0.756991438,0.705774769,0.780430043,,,,,,
Kenya,KE044,Migori,0.512698403,0.588098526,1,0.348299582,0.705263456,0.594187181,5,14,0.691823899,0.392857143,0.453414167,0.931793179,0.215964682,0.616537718,0,0.391292409,0.087891574,0.405643929,0.877725926,0.651878303,0.885805667,,,,,,
Kenya,KE045,Kisii,0.567457326,0.653540143,1,0.434354777,0.612212831,0.629202589,5,4,0.540880503,0.742857143,0.418634333,1,0.098367679,0.86225275,0,0.305483908,0.174193462,0.422258212,0.739881991,0.560494425,0.726216696,,,,,,
Kenya,KE046,Nyamira,0.566393465,0.611919725,1,0.472870049,0.534060609,0.614368596,5,8,0.553459119,0.821428571,0.324292704,0.9879988,0.307555898,0.540204476,0,0.281559581,0.22729968,0.465495129,0.514259266,0.520025109,0.636462934,,,,,,
Kenya,KE047,Nairobi,0.552380952,0.511287789,1,1,0.314970377,0.616360452,5,7,0,0.657142857,1,1,0.242252783,0.291610583,0,0,1,0.62093196,0.311685626,0.213706174,0.113557749,,,,,,
Somalia,SO11,Awdal,0.743935925,0.405801799,0.875,0.998432602,0.731106366,0.719500954,5,2,1,,0.285064863,,0.561174461,0.250429137,0.125,0,,1,0.630050715,1,0.294374748,0.747282609,0.943396226,0.996865204,,,
Somalia,SO12,Woqooyi Galbeed,0.835724581,0.321117929,0.875,0.827772335,0.528371341,0.63433283,5,5,0.986206897,,0.356691429,0.472708861,0.270517559,0.220127368,0.125,0.11875,,0.707785583,0.462582044,0.812746226,0.130371512,1,1,0.774294671,,,
Somalia,SO13,Togdheer,0.641736619,0.35268453,0.875,0.846829284,0.578683354,0.627187839,5,6,0.777011494,,0.101563366,0.194734177,0.308041273,0.555278139,0.125,0.110416667,,0.643151029,0.508843934,0.849947726,0.312790728,0.961956522,0.726415094,0.804075235,,,
Somalia,SO14,Sool,0.525881176,0.207258808,0.625,0.560295846,0.657893928,0.478597895,5,10,0.63908046,,0.080164098,,0.414517616,0,0.375,0.46875,,0.627613313,0.518006753,0.719718128,0.766237515,0.855978261,0.528301887,0.589341693,,,
Somalia,SO15,Sanaag,0.363488097,0.690974449,0.916666667,0.934375,0.706935492,0.686140293,5,4,0.48045977,,0,,0.638693865,0.743255033,0.083333333,0.13125,,0.754139488,0.453642091,0.957164127,0.662796263,0.388586957,0.58490566,1,,,
Somalia,SO16,Bari,0.608992839,0.665360411,0.833333333,0.886252612,0.795736698,0.750521197,5,1,0.671264368,,0.2911631,,0.425709622,0.905011199,0.166666667,0.095833333,,0.894346881,0.350108691,0.938491219,1,0.72826087,0.745283019,0.868338558,,,
Somalia,SO17,Nugaal,0.682638643,0.503166605,0.875,0.927204154,0.651506423,0.710887635,5,3,0.924137931,,0.273090143,,0.249873199,0.756460012,0.125,0.05625,,0.627395886,0.420224143,0.723554449,0.834851213,0.788043478,0.745283019,0.910658307,,,
Somalia,SO18,Mudug,0.376759698,0.207839838,0.541666667,0.26183059,0.541541218,0.359613055,5,14,0.418390805,,0.067524116,,0.090621865,0.325057811,0.458333333,0.714583333,,0.551705971,0.378021137,0.624222209,0.612215554,0.445652174,0.575471698,0.238244514,,,
Somalia,SO19,Galgaduud,0.275495249,0.258153873,0.416666667,0.585416667,0.54041925,0.393002653,5,12,0.222988506,,0.016964187,,0.124220229,0.392087517,0.583333333,0.329166667,,0.495099515,0.354550242,0.635280774,0.676746469,0.4375,0.424528302,0.5,,,
Somalia,SO20,Hiraan,0.451029364,0.344319108,0.916666667,0.144559822,0.482291474,0.397508953,5,11,0.48045977,,0.077503049,0,0.717379802,0.315577521,0.083333333,0.895833333,,0.296027764,0.557537589,0.604830213,0.470770329,0.774456522,0.471698113,0.184952978,,,
Somalia,SO21,Middle Shabelle,0.045913031,0.157277857,0.625,0,0.327998025,0.068245019,5,18,0,,0.032708726,0.429164557,0.042669013,0,0.375,1,,0.382622512,0.509797757,0.255290118,0.164281712,0,0.150943396,0,,,
Somalia,SO22,Banadir,0.726181013,0.517525698,0.875,0.805531609,0.128418243,0.508556061,5,9,0.15862069,,1,1,0,0.552577095,0.125,0.095833333,,0.378307409,0,0,0.135365561,0.934782609,0.811320755,0.706896552,,,
Somalia,SO23,Lower Shabelle,0.444419307,0.55188664,1,0.604196055,0.272084342,0.526144272,5,8,0.15862069,,0.069630779,0.413468354,0.242191566,1,0,0.310416667,,0.203411942,0.690453676,0.194471751,0,0.945652174,0.603773585,0.518808777,,,
Somalia,SO24,Bay,0.302896885,0.313674429,0,0.688695141,0.433712878,0.123197147,5,17,0.227586207,,0.059319215,,0.499692164,0.127656693,1,0.3875,,0,0.988055038,0.455102889,0.291693585,0.519021739,0.405660377,0.764890282,,,
