country,country_code,adm1_pcode,adm1_name,total_fatalities_2016,total_fatalities_2017,total_fatalities_2018,total_fatalities_2019,total_fatalities_2020,total_fatalities_2021,total_fatalities_2022,total_fatalities_2023,total_fatalities_2024,total_fatalities_2025,count_conflict_events_2016,count_conflict_events_2017,count_conflict_events_2018,count_conflict_events_2019,count_conflict_events_2020,count_conflict_events_2021,count_conflict_events_2022,count_conflict_events_2023,count_conflict_events_2024,count_conflict_events_2025,total_fatalities_per_1k_2016,count_conflicts_events_per_1k_2016,total_fatalities_per_1k_2017,count_conflicts_events_per_1k_2017,total_fatalities_per_1k_2018,count_conflicts_events_per_1k_2018,total_fatalities_per_1k_2019,count_conflicts_events_per_1k_2019,total_fatalities_per_1k_2020,count_conflicts_events_per_1k_2020,total_fatalities_per_1k_2021,count_conflicts_events_per_1k_2021,total_fatalities_per_1k_2022,count_conflicts_events_per_1k_2022,total_fatalities_per_1k_2023,count_conflicts_events_per_1k_2023,total_fatalities_per_1k_2024,count_conflicts_events_per_1k_2024,total_fatalities_per_1k_2025,count_conflicts_events_per_1k_2025
kenya,KEN,KE046,Nyamira,0,0,1,0,0,0,1,2,0,0,1,0,1,0,1,0,1,1,1,0,0.0,0.15037589999999998,0.0,0.0,0.15037589999999998,0.15037589999999998,0.0,0.0,0.0,0.15037589999999998,0.0,0.0,0.15037589999999998,0.15037589999999998,0.3007519,0.15037589999999998,0.0,0.15037589999999998,0.0,0.0
kenya,KEN,KE018,Nyandarua,0,2,3,0,1,0,0,4,0,0,0,2,1,0,1,0,0,1,0,0,0.0,0.0,0.2773925,0.2773925,0.4160888,0.1386963,0.0,0.0,0.1386963,0.1386963,0.0,0.0,0.0,0.0,0.554785,0.1386963,0.0,0.0,0.0,0.0
kenya,KEN,KE019,Nyeri,0,2,1,0,0,0,4,1,0,0,0,3,3,2,0,0,2,1,0,1,0.0,0.0,0.2317497,0.3476246,0.11587489999999999,0.3476246,0.0,0.2317497,0.0,0.0,0.0,0.0,0.4634994,0.2317497,0.11587489999999999,0.11587489999999999,0.0,0.0,0.0,0.11587489999999999
kenya,KEN,KE025,Samburu,0,25,14,11,6,37,12,81,19,30,1,7,3,8,8,9,21,54,30,33,0.0,0.2724796,6.8119891,1.9073569,3.8147138999999997,0.8174387,2.9972752,2.1798365,1.6348774,2.1798365,10.0817439,2.4523161,3.2697548,5.7220708,22.0708447,14.7138965,5.1771117,8.1743869,8.1743869,8.9918256
kenya,KEN,KE041,Siaya,0,0,1,0,0,0,0,3,4,11,0,3,1,0,1,0,2,2,7,2,0.0,0.0,0.0,0.27347309999999997,0.0912,0.0912,0.0,0.0,0.0,0.0912,0.0,0.0,0.0,0.1823154,0.27347309999999997,0.1823154,0.3646308,0.6381039,1.0027347,0.1823154
kenya,KEN,KE006,Taita Taveta,0,4,0,5,0,0,0,0,0,0,0,2,0,5,1,0,0,1,1,1,0.0,0.0,1.0723861,0.536193,0.0,0.0,1.3404826,1.3404826,0.0,0.2680965,0.0,0.0,0.0,0.0,0.0,0.2680965,0.0,0.2680965,0.0,0.2680965
kenya,KEN,KE004,Tana River,0,17,0,4,0,2,0,5,31,6,0,8,0,1,1,2,2,5,14,7,0.0,0.0,4.5945946,2.1621622,0.0,0.0,1.0810811,0.27027029999999996,0.0,0.27027029999999996,0.5405405,0.5405405,0.0,0.5405405,1.3513514,1.3513514,8.3783784,3.7837837999999997,1.6216215999999999,1.8918918999999998
kenya,KEN,KE013,Tharaka-Nithi,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,7,1,1,0.0,0.0,0.0,0.0,0.0,0.2543384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2543384,0.7630151,1.7803685999999999,0.0,0.2543384,0.0,0.2543384
kenya,KEN,KE026,Trans Nzoia,1,1,0,0,1,1,1,0,5,5,1,1,1,0,2,2,1,1,4,5,0.0903,0.0903,0.0903,0.0903,0.0,0.0903,0.0,0.0,0.0903,0.18050539999999998,0.0903,0.18050539999999998,0.0903,0.0903,0.0,0.0903,0.4512635,0.36101079999999997,0.4512635,0.4512635
kenya,KEN,KE023,Turkana,3,24,17,12,13,20,58,55,37,85,4,9,9,7,6,9,39,53,24,44,0.27932959999999996,0.37243950000000003,2.2346369,0.8379888,1.5828677999999998,0.8379888,1.1173183999999998,0.6517691,1.2104283,0.5586591999999999,1.8621974,0.8379888,5.4003724,3.6312849000000003,5.121042800000001,4.9348231,3.4450651999999997,2.2346369,7.9143389,4.096834299999999
kenya,KEN,KE027,Uasin Gishu,0,7,0,1,2,2,0,6,1,2,0,3,0,1,1,1,4,4,2,4,0.0,0.0,0.5355777,0.2295333,0.0,0.0,0.0765,0.0765,0.1530222,0.0765,0.1530222,0.0765,0.0,0.3060444,0.4590666,0.3060444,0.0765,0.1530222,0.1530222,0.3060444
kenya,KEN,KE038,Vihiga,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,2,2,2,1,0.0,0.0,0.0,0.1572327,0.0,0.1572327,0.0,0.0,0.1572327,0.1572327,0.0,0.0,0.1572327,0.3144654,0.1572327,0.3144654,0.1572327,0.3144654,0.1572327,0.1572327
kenya,KEN,KE008,Wajir,18,13,30,23,30,19,17,2,14,6,6,4,21,9,14,14,17,4,13,8,1.9672131,0.6557377,1.420765,0.4371585,3.2786885000000003,2.295082,2.5136612,0.9836065999999999,3.2786885000000003,1.5300546,2.0765027,1.5300546,1.8579235,1.8579235,0.21857920000000003,0.4371585,1.5300546,1.420765,0.6557377,0.8743169000000001
kenya,KEN,KE024,West Pokot,6,8,14,6,5,4,7,41,7,13,1,3,7,5,3,3,7,35,14,9,0.8498584,0.1416431,1.1331445,0.4249292,1.9830028,0.9915014,0.8498584,0.7082153,0.7082153,0.4249292,0.5665722,0.4249292,0.9915014,0.9915014,5.8073654,4.9575071,0.9915014,1.9830028,1.8413598,1.2747875
